OTU	16Sgene	genome	numberGenes	totalGeneLength
Consensus328	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus329	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus33	ref|NC_009615|:4787729-4789225|16S	Parabacteroides_distasonis_ATCC_8503_uid58301	104	37085
Consensus330	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus331	ref|NC_017584|:3810688-3812190|16S	Rhodospirillum_rubrum_F11_uid162149	67	21772
Consensus332	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus333	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus334	ref|NC_017068|:2872430-2872509,2870852-2872338|16S	Selenomonas_ruminantium_lactilytica_TAM6421_uid157247	97	38935
Consensus335	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus336	ref|NC_012778|:872242-873760|16S	Eubacterium_eligens_ATCC_27750_uid59171	65	26868
Consensus337	ref|NC_021022|:3224206-3225524|16S	_Ruminococcus__obeum_uid197165	55	5797
Consensus338	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus339	ref|NC_017576|:494657-496193|16S	Streptococcus_gallolyticus_ATCC_43143_uid162103	76	27763
Consensus34	ref|NC_009615|:4787729-4789225|16S	Parabacteroides_distasonis_ATCC_8503_uid58301	104	37085
Consensus340	ref|NC_010001|:4184940-4186462|16S	Clostridium_phytofermentans_ISDg_uid58519	89	42061
Consensus341	ref|NC_021022|:3224206-3225524|16S	_Ruminococcus__obeum_uid197165	55	5797
Consensus342	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus343	ref|NC_018011|:2181216-2182629|16S	Alistipes_finegoldii_DSM_17242_uid168180	68	13954
Consensus344	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus345	ref|NC_016077|:391435-392923|16S	Acidaminococcus_intestini_RyC_MR95_uid74445	61	15538
Consensus346	ref|NC_006449|:1614460-1616014|16S	Streptococcus_thermophilus_CNRZ1066_uid58221	85	32536
Consensus347	ref|NC_013315|:3947905-3949529|16S	Clostridium_difficile_CD196_uid41017	111	53056
Consensus348	ref|NC_015052|:2303109-2304638|16S	Bifidobacterium_longum_infantis_157F_uid62693	71	23279
Consensus349	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus35	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus350	ref|NC_021030|:881290-882801|16S	Alistipes_shahii_WAL_8301_uid197175	53	8728
Consensus351	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus352	ref|NC_021015|:159-1677|16S	_Ruminococcus__torques_uid197166	50	8408
Consensus353	ref|NC_012778|:697435-698953|16S	Eubacterium_eligens_ATCC_27750_uid59171	65	26868
Consensus354	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus355	ref|NC_011898|:4057389-4057468,4055812-4057250|16S	Clostridium_cellulolyticum_H10_uid58709	88	41569
Consensus356	ref|NC_021014|:2702614-2706143|16S	Ruminococcus_uid197156	53	13115
Consensus357	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus358	ref|NC_017481|:1818075-1819591|16S	Lactobacillus_salivarius_CECT_5713_uid162005	120	60114
Consensus359	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus36	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus360	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus361	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus362	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus363	ref|NC_021009|:505857-508732|16S	Coprococcus_catus_GD_7_uid197174	55	10812
Consensus364	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus365	ref|NC_014323|:5431893-5433419|16S	Herbaspirillum_seropedicae_SmR1_uid50427	64	16689
Consensus366	ref|NC_018011|:2181216-2182629|16S	Alistipes_finegoldii_DSM_17242_uid168180	68	13954
Consensus367	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus368	ref|NC_021015|:159-1677|16S	_Ruminococcus__torques_uid197166	50	8408
Consensus369	ref|NC_020418|:1493895-1495425|16S	Morganella_morganii_KT_uid180867	98	35711
Consensus37	ref|NC_021022|:3224206-3225524|16S	_Ruminococcus__obeum_uid197165	55	5797
Consensus370	ref|NC_021022|:3224206-3225524|16S	_Ruminococcus__obeum_uid197165	55	5797
Consensus371	ref|NC_016077|:391435-392923|16S	Acidaminococcus_intestini_RyC_MR95_uid74445	61	15538
Consensus372	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus373	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus374	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus375	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus376	ref|NC_016048|:1864519-1866052|16S	Oscillibacter_valericigenes_Sjm18_20_uid73895	72	20906
Consensus377	ref|NC_012778|:872242-873760|16S	Eubacterium_eligens_ATCC_27750_uid59171	65	26868
Consensus378	ref|NC_017297|:3856160-3857659|16S	Clostridium_botulinum_F_230613_uid159513	93	45825
Consensus379	ref|NC_018011|:2181216-2182629|16S	Alistipes_finegoldii_DSM_17242_uid168180	68	13954
Consensus38	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus380	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus381	ref|NC_014323|:5431893-5433419|16S	Herbaspirillum_seropedicae_SmR1_uid50427	64	16689
Consensus382	ref|NC_016791|:4601376-4602779|16S	Clostridium_BNL1100_uid84307	88	42333
Consensus383	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus384	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus385	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus386	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus387	ref|NC_015164|:4225341-4226859|16S	Bacteroides_salanitronis_DSM_18170_uid63269	101	33719
Consensus388	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus389	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus39	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus390	ref|NC_009615|:4787729-4789225|16S	Parabacteroides_distasonis_ATCC_8503_uid58301	104	37085
Consensus391	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus392	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus393	ref|NC_009615|:4787729-4789225|16S	Parabacteroides_distasonis_ATCC_8503_uid58301	104	37085
Consensus394	ref|NC_010001|:4184940-4186462|16S	Clostridium_phytofermentans_ISDg_uid58519	89	42061
Consensus395	ref|NC_015389|:727868-729362|16S	Coriobacterium_glomerans_PW2_uid65787	54	13307
Consensus396	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus397	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus398	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus399	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus4	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus40	ref|NC_006449|:1614460-1616014|16S	Streptococcus_thermophilus_CNRZ1066_uid58221	85	32536
Consensus400	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus401	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus402	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus403	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus404	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus405	ref|NC_015873|:2473031-2474582|16S-rRNA|	Megasphaera_elsdenii_DSM_20460_uid71135	85	36872
Consensus406	ref|NC_015164|:4225341-4226859|16S	Bacteroides_salanitronis_DSM_18170_uid63269	101	33719
Consensus407	ref|NC_016077|:391435-392923|16S	Acidaminococcus_intestini_RyC_MR95_uid74445	61	15538
Consensus408	ref|NC_011898|:4057389-4057468,4055812-4057250|16S	Clostridium_cellulolyticum_H10_uid58709	88	41569
Consensus409	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus41	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus410	ref|NC_021354|:1747947-1749490|16S	Erysipelothrix_rhusiopathiae_SY1027_uid206518	63	17846
Consensus411	ref|NC_021014|:2702614-2706143|16S	Ruminococcus_uid197156	53	13115
Consensus412	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus413	ref|NC_009012|:3665491-3667011|16S	Clostridium_thermocellum_ATCC_27405_uid57917	71	23381
Consensus414	ref|NC_014933|:3766053-3767565|16S	Bacteroides_helcogenes_P_36_108_uid62135	83	28010
Consensus415	ref|NC_017068|:2193552-2195118|16S	Selenomonas_ruminantium_lactilytica_TAM6421_uid157247	97	38935
Consensus416	ref|NC_015968|:4749056-4750583|16S	Enterobacter_asburiae_LF7a_uid72793	109	39472
Consensus417	ref|NC_015565|:181844-183362|16S	Desulfotomaculum_carboxydivorans_CO_1_SRB_uid67317	95	43091
Consensus418	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus419	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus42	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus420	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus421	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus422	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus423	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus424	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus425	ref|NC_009615|:4787729-4789225|16S	Parabacteroides_distasonis_ATCC_8503_uid58301	104	37085
Consensus426	ref|NC_018011|:2181216-2182629|16S	Alistipes_finegoldii_DSM_17242_uid168180	68	13954
Consensus427	ref|NC_021018|:3070260-3072809|16S	Coprococcus_ART55_1_uid197176	34	8292
Consensus428	ref|NC_011898|:4057389-4057468,4055812-4057250|16S	Clostridium_cellulolyticum_H10_uid58709	88	41569
Consensus429	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus43	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus430	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus431	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus432	ref|NC_021846|:862688-864196|16S	Spiroplasma_taiwanense_CT_1_uid212975	32	6798
Consensus433	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus434	ref|NC_008497|:1504667-1506229|16S	Lactobacillus_brevis_ATCC_367_uid57989	82	28623
Consensus435	ref|NC_014933|:3766053-3767565|16S	Bacteroides_helcogenes_P_36_108_uid62135	83	28010
Consensus436	ref|NC_016627|:4884776-4886142|16S	Clostridium_clariflavum_DSM_19732_uid82345	90	34255
Consensus437	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus438	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus439	ref|NC_010723|:3579829-3581335|16S	Clostridium_botulinum_E3_Alaska_E43_uid59157	117	57165
Consensus44	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus440	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus441	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus442	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus443	ref|NC_015968|:4749056-4750583|16S	Enterobacter_asburiae_LF7a_uid72793	109	39472
Consensus444	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus445	ref|NC_011751|:4697139-4698680|ribosomal	Escherichia_coli_UMN026_uid62981	194	51046
Consensus446	ref|NC_016627|:4884776-4886142|16S	Clostridium_clariflavum_DSM_19732_uid82345	90	34255
Consensus447	ref|NC_021019|:134513-136043|16S	Eubacterium_cylindroides_T2_87_uid197177	45	8149
Consensus448	ref|NC_009012|:3665491-3667011|16S	Clostridium_thermocellum_ATCC_27405_uid57917	71	23381
Consensus449	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus45	ref|NC_015311|:2480776-2482250|16S	Prevotella_denticola_F0289_uid65091	67	22859
Consensus450	ref|NC_010001|:4184940-4186462|16S	Clostridium_phytofermentans_ISDg_uid58519	89	42061
Consensus451	ref|NC_015437|:2175435-2176977|16S	Selenomonas_sputigena_ATCC_35185_uid55329	68	23446
Consensus452	ref|NC_013520|:103635-105185|16S	Veillonella_parvula_DSM_2008_uid41927	64	23068
Consensus453	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus454	ref|NC_010001|:4184940-4186462|16S	Clostridium_phytofermentans_ISDg_uid58519	89	42061
Consensus455	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus456	ref|NC_021015|:159-1677|16S	_Ruminococcus__torques_uid197166	50	8408
Consensus457	ref|NC_014393|:4550979-4552481|16S	Clostridium_cellulovorans_743B_uid51503	112	48018
Consensus458	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus459	ref|NC_010655|:1459761-1461265|16S	Akkermansia_muciniphila_ATCC_BAA_835_uid58985	63	17607
Consensus46	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus460	ref|NC_021015|:159-1677|16S	_Ruminococcus__torques_uid197166	50	8408
Consensus461	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus462	ref|NC_019678|:8136367-8137732|16S	Rivularia_PCC_7116_uid182929	66	17753
Consensus463	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus464	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus465	ref|NC_017297|:3856160-3857659|16S	Clostridium_botulinum_F_230613_uid159513	93	45825
Consensus466	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus467	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus468	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus469	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus47	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus470	ref|NC_010001|:4184940-4186462|16S	Clostridium_phytofermentans_ISDg_uid58519	89	42061
Consensus471	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus472	ref|NC_021040|:348381-351031|16S	Roseburia_intestinalis_uid197164	56	11339
Consensus473	ref|NC_021014|:2702614-2706143|16S	Ruminococcus_uid197156	53	13115
Consensus474	ref|NC_022124|:39613-41129|16S	Prevotella_oral_taxon_299_F0039_uid45899	61	21878
Consensus475	ref|NC_021040|:348381-351031|16S	Roseburia_intestinalis_uid197164	56	11339
Consensus476	ref|NC_021043|:2595678-2597174|16S	Eubacterium_siraeum_V10Sc8a_uid197178	43	7914
Consensus477	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus478	ref|NC_016077|:391435-392923|16S	Acidaminococcus_intestini_RyC_MR95_uid74445	61	15538
Consensus479	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus48	ref|NC_016077|:391435-392923|16S	Acidaminococcus_intestini_RyC_MR95_uid74445	61	15538
Consensus480	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus481	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus482	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus483	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus484	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus485	ref|NC_011883|:2041424-2042961|16S	Desulfovibrio_desulfuricans_ATCC_27774_uid59213	68	19152
Consensus486	ref|NC_014833|:3675459-3676957|16S	Ruminococcus_albus_7_uid51721	90	24529
Consensus487	ref|NC_021019|:134513-136043|16S	Eubacterium_cylindroides_T2_87_uid197177	45	8149
Consensus488	ref|NC_022124|:39613-41129|16S	Prevotella_oral_taxon_299_F0039_uid45899	61	21878
Consensus489	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus49	ref|NC_021015|:159-1677|16S	_Ruminococcus__torques_uid197166	50	8408
Consensus490	ref|NC_015873|:2473031-2474582|16S-rRNA|	Megasphaera_elsdenii_DSM_20460_uid71135	85	36872
Consensus491	ref|NC_021022|:3224206-3225524|16S	_Ruminococcus__obeum_uid197165	55	5797
Consensus492	ref|NC_016048|:1864519-1866052|16S	Oscillibacter_valericigenes_Sjm18_20_uid73895	72	20906
Consensus493	ref|NC_014933|:3766053-3767565|16S	Bacteroides_helcogenes_P_36_108_uid62135	83	28010
Consensus494	ref|NC_014833|:3675459-3676957|16S	Ruminococcus_albus_7_uid51721	90	24529
Consensus495	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus496	ref|NC_009615|:4787729-4789225|16S	Parabacteroides_distasonis_ATCC_8503_uid58301	104	37085
Consensus497	ref|NC_011898|:4057389-4057468,4055812-4057250|16S	Clostridium_cellulolyticum_H10_uid58709	88	41569
Consensus498	ref|NC_014323|:5431893-5433419|16S	Herbaspirillum_seropedicae_SmR1_uid50427	64	16689
Consensus499	ref|NC_016048|:1864519-1866052|16S	Oscillibacter_valericigenes_Sjm18_20_uid73895	72	20906
Consensus5	ref|NC_015164|:4225341-4226859|16S	Bacteroides_salanitronis_DSM_18170_uid63269	101	33719
Consensus50	ref|NC_021014|:2702614-2706143|16S	Ruminococcus_uid197156	53	13115
Consensus500	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus501	ref|NC_011883|:2041424-2042961|16S	Desulfovibrio_desulfuricans_ATCC_27774_uid59213	68	19152
Consensus502	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus503	ref|NC_016791|:4601376-4602779|16S	Clostridium_BNL1100_uid84307	88	42333
Consensus504	ref|NC_021281|:2155685-2157191|16S	Fusobacterium_4_8_uid205051	61	26223
Consensus505	ref|NC_022111|:1520371-1521887|16S	Prevotella_oral_taxon_299_F0039_uid45899	61	21878
Consensus506	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus507	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus508	ref|NC_021014|:2702614-2706143|16S	Ruminococcus_uid197156	53	13115
Consensus509	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus51	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus510	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus511	ref|NC_016048|:1864519-1866052|16S	Oscillibacter_valericigenes_Sjm18_20_uid73895	72	20906
Consensus512	ref|NC_015873|:2473031-2474582|16S-rRNA|	Megasphaera_elsdenii_DSM_20460_uid71135	85	36872
Consensus513	ref|NC_017068|:2872430-2872509,2870852-2872338|16S	Selenomonas_ruminantium_lactilytica_TAM6421_uid157247	97	38935
Consensus514	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus515	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus516	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus517	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus518	ref|NC_013520|:1572261-1573812|16S	Veillonella_parvula_DSM_2008_uid41927	64	23068
Consensus519	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus52	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus520	ref|NC_015873|:2473031-2474582|16S-rRNA|	Megasphaera_elsdenii_DSM_20460_uid71135	85	36872
Consensus521	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus522	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus523	ref|NC_019745|:4840136-4841614|16S	Gloeocapsa_PCC_7428_uid183112	50	12818
Consensus524	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus525	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus526	ref|NC_010471|:1775919-1777444|16S	Leuconostoc_citreum_KM20_uid58481	82	23370
Consensus527	ref|NC_021040|:348381-351031|16S	Roseburia_intestinalis_uid197164	56	11339
Consensus528	ref|NC_010001|:4184940-4186462|16S	Clostridium_phytofermentans_ISDg_uid58519	89	42061
Consensus529	ref|NC_015164|:4225341-4226859|16S	Bacteroides_salanitronis_DSM_18170_uid63269	101	33719
Consensus53	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus530	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus531	ref|NC_003454|:2047107-2048608|16S	Fusobacterium_nucleatum_ATCC_25586_uid57885	62	26216
Consensus532	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus533	ref|NC_012778|:872242-873760|16S	Eubacterium_eligens_ATCC_27750_uid59171	65	26868
Consensus534	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus535	ref|NC_014933|:3766053-3767565|16S	Bacteroides_helcogenes_P_36_108_uid62135	83	28010
Consensus536	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus537	ref|NC_014933|:3766053-3767565|16S	Bacteroides_helcogenes_P_36_108_uid62135	83	28010
Consensus538	ref|NC_011751|:4697139-4698680|ribosomal	Escherichia_coli_UMN026_uid62981	194	51046
Consensus539	ref|NC_015873|:2473031-2474582|16S-rRNA|	Megasphaera_elsdenii_DSM_20460_uid71135	85	36872
Consensus54	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus540	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus541	ref|NC_016048|:1864519-1866052|16S	Oscillibacter_valericigenes_Sjm18_20_uid73895	72	20906
Consensus542	ref|NC_016077|:391435-392923|16S	Acidaminococcus_intestini_RyC_MR95_uid74445	61	15538
Consensus543	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus544	ref|NC_021846|:862688-864196|16S	Spiroplasma_taiwanense_CT_1_uid212975	32	6798
Consensus545	ref|NC_015052|:2303109-2304638|16S	Bifidobacterium_longum_infantis_157F_uid62693	71	23279
Consensus546	ref|NC_010655|:1459761-1461265|16S	Akkermansia_muciniphila_ATCC_BAA_835_uid58985	63	17607
Consensus547	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus548	ref|NC_015873|:2473031-2474582|16S-rRNA|	Megasphaera_elsdenii_DSM_20460_uid71135	85	36872
Consensus549	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus55	ref|NC_016048|:1864519-1866052|16S	Oscillibacter_valericigenes_Sjm18_20_uid73895	72	20906
Consensus550	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus551	ref|NC_015164|:4225341-4226859|16S	Bacteroides_salanitronis_DSM_18170_uid63269	101	33719
Consensus552	ref|NC_015311|:2480776-2482250|16S	Prevotella_denticola_F0289_uid65091	67	22859
Consensus553	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus554	ref|NC_021022|:3224206-3225524|16S	_Ruminococcus__obeum_uid197165	55	5797
Consensus555	ref|NC_010001|:4184940-4186462|16S	Clostridium_phytofermentans_ISDg_uid58519	89	42061
Consensus556	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus557	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
